Name,Team,Fumbles Lost,Ret TD,Rec 40 yd TD,Pass Int,Rush TD,Rush Yards,Pass Yds,Pick Six,Pass 40 yd TD,Rush 40 yd TD,Rec TD,Rec Yards,Pass TD,2PT
Adrian Peterson,MIN,3.2,0.0,0.2,0.0,11.2992,1329.768,0.0,0,0,1.5,0.93456,189.42,0.0,0.2
Arian Foster,HOU,2.1,0.0,0.3,0.0,9.5472,1115.4,0.0,0,0,1.4,1.56156,267.54,0.0,0.3
C.J. Spiller,BUF,2.9,0.0,0.2,0.0,6.15264,1020.0,0.0,0,0,1.2,1.49328,306.68,0.0,0.2
Doug Martin,TB,0.6,0.0,0.3,0.0,8.38032,1198.704,0.0,0,0,1.1,2.00736,383.8464,0.0,0.2
Jamaal Charles,KC,3.4,0.0,0.4,0.0,7.92792,1025.64,0.0,0,0,0.8,1.65,403.26,0.0,0.2
Trent Richardson,CLE,2.1,0.0,0.5,0.0,8.44272,1089.0,0.0,0,0,1.1,1.2408,303.6,0.0,0.2
Maurice Jones-Drew,JAC,2.9,0.0,0.2,0.0,6.11878,1043.056,0.0,0,0,1.2,1.2232,262.71,0.0,0.2
LeSean McCoy,PHI,2.7,0.0,0.5,0.0,7.84448,1025.44,0.0,0,0,1,1.49328,269.28,0.0,0.2
Marshawn Lynch,SEA,3.2,0.0,0.1,0.0,8.97264,1088.08,0.0,0,0,1.1,1.139,180.9,0.0,0.2
Matt Forte,CHI,1.7,0.0,0.2,0.0,5.06352,883.376,0.0,0,0,0.9,1.5892,346.61,0.0,0.2
Ray Rice,BAL,1.8,0.0,0.3,0.0,8.08128,1026.72,0.0,0,0,0.8,2.07,453.054,0.0,0.2
Reggie Bush,DET,2.7,0.0,0.4,0.0,2.8644,659.68,0.0,0,0,0.6,2.17,416.02,0.0,0.2
Alfred Morris,WAS,2.2,0.0,0.1,0.0,10.37898,1192.32,0.0,0,0,1.1,0.6417,132.48,0.0,0.2
Steven Jackson,ATL,0.8,0.0,0.2,0.0,7.05042,755.346,0.0,0,0,0.8,1.573228125,278.2833,0.0,0.2
DeMarco Murray,DAL,2.6,0.0,0.4,0.0,6.2475,968.66,0.0,0,0,0.8,1.04125,269.416,0.0,0.2
Frank Gore,SF,1.8,0.0,0.1,0.0,6.3468,951.891,0.0,0,0,0.9,0.66822,145.125,0.0,0.2
Stevan Ridley,NE,2.9,0.0,0,0.0,9.88416,1057.056,0.0,0,0,1,0.4576,96.7824,0.0,0.2
Chris Johnson,TEN,2.3,0.0,0.2,0.0,6.3403,1131.03,0.0,0,0,0.9,0.8165,235.152,0.0,0.1
David Wilson,NYG,2.3,0.0,0.1,0.0,7.03892,907.2,0.0,0,0,0.8,0.7476,145.6,0.0,0.2
Chris Ivory,NYJ,2.2,0.0,0.1,0.0,5.3482,825.22,0.0,0,0,0.7,0.39204,124.025,0.0,0.2
Daryl Richardson,STL,3.6,0.0,0.3,0.0,4.3307,850.392,0.0,0,0,0.7,0.919226,239.3696,0.0,0.1
Ryan Mathews,SD,2.5,0.0,0.3,0.0,4.9476,821.94,0.0,0,0,0.8,0.807576,187.53,0.0,0.1
Lamar Miller,MIA,2.1,0.0,0.2,0.0,4.64576,768.6,0.0,0,0,0.7,0.84912,214.72,0.0,0.1
Darren McFadden,OAK,2.4,0.0,0.2,0.0,4.2066,863.46,0.0,0,0,0.9,0.97293,240.4896,0.0,0.1
Eddie Lacy,GB,2.1,0.0,0.2,0.0,6.528,736.0,0.0,0,0,0.6,0.5848,161.616,0.0,0.2
Darren Sproles,NO,0.3,0.715,0.5,0.0,2.03775,399.828,0.0,0,0,0,5.461456,616.616,0.0,0.2
Rashard Mendenhall,ARI,1.8,0.0,0.2,0.0,4.14141,805.896,0.0,0,0,0.7,0.32472,118.08,0.0,0.1
Ahmad Bradshaw,IND,2.1,0.0,0.2,0.0,3.44487,586.872,0.0,0,0,0.5,0.71214,145.86,0.0,0.1
Mark Ingram,NO,0.7,0.0,0.1,0.0,7.3359,755.04,0.0,0,0,0.5,0.31031,61.6616,0.0,0.2
DeAngelo Williams,CAR,0.9,0.0,0.1,0.0,3.78,643.5,0.0,0,0,0.4,0.78,147.0,0.0,0.1
Shane Vereen,NE,1.1,0.0,0.3,0.0,3.6864,437.184,0.0,0,0,0.1,2.88,324.864,0.0,0.1
Montee Ball,DEN,1.6,0.0,0.1,0.0,4.76,723.2,0.0,0,0,0.4,0.704,139.2,0.0,0.1
BenJarvus Green-Ellis,CIN,0.8,0.0,0,0.0,6.42408,890.34,0.0,0,0,0.5,0.404416,85.8816,0.0,0.1
Andre Brown,NYG,1.2,0.0,0.1,0.0,7.859763,727.56,0.0,0,0,0.2,1.00392,183.3,0.0,0.1
Ronnie Hillman,DEN,1.9,0.0,0.1,0.0,3.264,542.4,0.0,0,0,0.4,1.056,185.6,0.0,0.1
Giovani Bernard,CIN,1.5,0.0,0.2,0.0,3.042,566.58,0.0,0,0,0.2,1.9046,279.72,0.0,0.1
Danny Woodhead,SD,0.7,0.0,0.1,0.0,2.00508,364.826,0.0,0,0,0.1,1.48764,325.71,0.0,0.1
Bernard Pierce,BAL,0.4,0.0,0,0.0,4.68192,693.48,0.0,0,0,0.2,0.543,177.38,0.0,0.1
Jonathan Dwyer,PIT,1.1,0.0,0,0.0,1.05696,133.98,0.0,0,0,0.3,0.06216,13.72,0.0,0.1
Vick Ballard,IND,1.1,0.0,0,0.0,3.51714,614.952,0.0,0,0,0.2,0.96944,212.211,0.0,0.1
Daniel Thomas,MIA,1.6,0.0,0.2,0.0,3.65092,502.32,0.0,0,0,0.1,0.57072,188.1,0.0,0.1
Jonathan Stewart,CAR,1.3,0.0,0.2,0.0,3.36,527.8,0.0,0,0,0.1,0.728,205.8,0.0,0.1
Fred Jackson,BUF,1.9,0.0,0.1,0.0,2.85948,480.0,0.0,0,0,0.1,0.60756,173.43,0.0,0.1
Michael Bush,CHI,0.5,0.0,0,0.0,5.36382,487.344,0.0,0,0,0.1,0.3915,113.16,0.0,0.1
Ben Tate,HOU,1.3,0.0,0,0.0,4.99608,680.064,0.0,0,0,0.1,0.29458,94.08,0.0,0.1
Le'Veon Bell,PIT,1.1,0,0.1,0,3.2,497,0,0,0,0.4,0.5,115,0,0.1
Bilal Powell,NYJ,0.5,0.0,0.1,0.0,2.958,497.2,0.0,0,0,0,0.5292,139.4,0.0,0.1
Pierre Thomas,NO,0.3,0.0,0.2,0.0,2.66,453.6,0.0,0,0,0,0.9114,215.6,0.0,0.1
Jacquizz Rodgers,ATL,0.4,0.3,0.2,0.0,2.78928,435.2958,0.0,0,0,0,1.29815625,285.471,0.0,0.1
Knowshon Moreno,DEN,0.7,0.0,0.1,0.0,1.904,307.36,0.0,0,0,0,0.352,92.8,0.0,0.1
Kendall Hunter,SF,0.2,0.0,0,0.0,2.1402,334.41,0.0,0,0,0,0.252,47.25,0.0,0.1
Shonn Greene,TEN,0.8,0.0,0,0.0,5.5119,491.67,0.0,0,0,0,0.2277,81.972,0.0,0.1
Roy Helu,WAS,0.6,0.0,0.1,0.0,2.6051,311.85,0.0,0,0,0,0.7595,163.2,0.0,0.1
Isaiah Pead,STL,0.8,0.0,0.1,0.0,1.9558,384.048,0.0,0,0,0,0.56056,135.408,0.0,0
Joique Bell,DET,0.5,0.0,0.1,0.0,0.6336,128.25,0.0,0,0,0,0.525,109.8,0.0,0.1
Mike Tolbert,CAR,0.5,0.0,0.1,0.0,3.96,156.0,0.0,0,0,0,0.78,235.2,0.0,0.1
Robert Turbin,SEA,0.2,0.0,0,0.0,1.37376,246.4,0.0,0,0,0,0.69768,178.2,0.0,0.1
DuJuan Harris,GB,0.8,0.0,0,0.0,2.856,423.2,0.0,0,0,0,0.344,43.68,0.0,0
Toby Gerhart,MIN,1,0.0,0.1,0.0,3.7236,437.598,0.0,0,0,0,0.50976,150.06,0.0,0
Bryce Brown,PHI,1.3,0.0,0,0.0,2.75628,388.89,0.0,0,0,0,0.27084,59.4,0.0,0
Marcel Reece,OAK,0.6,0.0,0.1,0.0,1.032,129.6,0.0,0,0,0,1.356,287.04,0.0,0
Ryan Williams,ARI,0.7,0,0,0,1.8,289,0,0,0,0,0.3,106,0,0
Brandon Jackson,CLE,0.5,0,0.1,0,1.5,259,0,0,0,0,0.3,92.4,0,0
LaRod Stephens-Howling,PIT,0.2,0.2,0.1,0,0.6,160,0,0,0,0,0.8,183,0,0
Justin Forsett,JAC,0.2,0.0,0,0.0,1.1842,217.28,0.0,0,0,0,0.275,88.2,0.0,0
LeGarrette Blount,NE,0.9,0.0,0,0.0,3.4944,373.56,0.0,0,0,0,0.06,16.92,0.0,0.1
Isaac Redman,PIT,0.9,0.0,0,0.0,1.71936,228.06,0.0,0,0,0,0.31968,69.09,0.0,0
Rashad Jennings,OAK,0.7,0.0,0,0.0,2.796,344.952,0.0,0,0,0,0.28476,90.688,0.0,0
Devonte Campbell,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Johnson,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Coleman,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emil Igwenagu,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Rainey,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Grant,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Coleman,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emil Igwenagu,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Rainey,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Grant,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
