Name,Team,Fumbles Lost,Ret TD,Rec 40 yd TD,Pass Int,Rush TD,Rush Yards,Pass Yds,Pick Six,Pass 40 yd TD,Rush 40 yd TD,Rec TD,Rec Yards,Pass TD,2PT
Jimmy Graham,NO,0.8,0.0,0.7,0.0,0.0,0.0,0.0,0,0,0,7.9856,1084.16,0.0,0.3
Rob Gronkowski,NE,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0,0,0,7.2,791.856,0.0,0.2
Tony Gonzalez,ATL,0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,7.1484375,803.16,0.0,0.2
Jason Witten,DAL,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,4.76,964.464,0.0,0.1
Vernon Davis,SF,0.6,0.0,1,0.0,0.0,5.024,0.0,0,0,0,5.6,792.0,0.0,0.2
Greg Olsen,CAR,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0,0,0,5.408,862.4,0.0,0.1
Jared Cook,STL,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0,0,0,4.6816,714.24,0.0,0.1
Jermichael Finley,GB,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0,0,0,5.0955,733.278,0.0,0.1
Antonio Gates,SD,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0,0,0,4.76928,642.96,0.0,0.1
Owen Daniels,HOU,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,4.53453,702.905,0.0,0.1
Brandon Pettigrew,DET,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,3.92,634.4,0.0,0.1
Fred Davis,WAS,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,4.185,756.0,0.0,0.1
Jordan Cameron,CLE,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,2.82,515.2,0.0,0.1
Kyle Rudolph,MIN,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,5.92832,669.12,0.0,0.1
Martellus Bennett,CHI,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0,0,0,3.712,478.4,0.0,0.1
Zach Miller,SEA,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,4.08,472.5,0.0,0.1
Brandon Myers,NYG,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,4.5568,624.0,0.0,0.1
Marcedes Lewis,JAC,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,3.344,436.8,0.0,0.1
Zach Sudfeld,NE,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,2.54,344.04,0.0,0.1
Jermaine Gresham,CIN,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,5.03028,712.152,0.0,0.1
Rob Housler,ARI,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,2.7456,499.2,0.0,0.1
Heath Miller,PIT,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,4.75968,558.11,0.0,0.1
Coby Fleener,IND,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,5.41824,652.8,0.0,0.1
Scott Chandler,BUF,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,3.0744,344.4,0.0,0.1
Dwayne Allen,IND,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,4.301392,523.77,0.0,0.1
Tyler Eifert,CIN,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,3.7024,564.48,0.0,0.1
Brent Celek,PHI,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,2.3424,387.2,0.0,0.1
Joel Dreessen,DEN,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,3.696,312.62,0.0,0.1
Zach Ertz,PHI,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,2.5376,422.4,0.0,0.1
