Name,Team,Fumbles Lost,Ret TD,Rec 40 yd TD,Pass Int,Rush TD,Rush Yards,Pass Yds,Pick Six,Pass 40 yd TD,Rush 40 yd TD,Rec TD,Rec Yards,Pass TD,2PT
Calvin Johnson,DET,1.6,0.0,2.4,0.0,0.0,0.0,0.0,0,0,0,9.24,1561.6,0.0,0.2
Brandon Marshall,CHI,1.2,0.0,1.9,0.0,0.0,0.0,0.0,0,0,0,7.888,1251.2,0.0,0.2
Julio Jones,ATL,0.4,0.0,1.6,0.0,0.073008,29.016,0.0,0,0,0,7.49385,1207.5336,0.0,0.2
Demaryius Thomas,DEN,1.4,0.0,1.5,0.0,0.0,0.0,0.0,0,0,0,7.8848,1206.4,0.0,0.2
Dez Bryant,DAL,1,0.0,1.4,0.0,0.0,17.16,0.0,0,0,0,9.555,1324.44,0.0,0.2
A.J. Green,CIN,0.9,0.0,2,0.0,0.12324,36.024,0.0,0,0,0,9.393416,1290.0384,0.0,0.2
Roddy White,ATL,0.5,0.0,1.6,0.0,0.0,0.0,0.0,0,0,0,7.442,1257.12,0.0,0.2
Randall Cobb,GB,0.6,0.158,0.5,0.0,0.1343,72.68,0.0,0,0,0,7.03179,1022.2758,0.0,0.2
Victor Cruz,NYG,0.4,0.0,1.1,0.0,0.0,0.0,0.0,0,0,0,7.80352,1164.8,0.0,0.2
Vincent Jackson,TB,0.4,0.0,2.6,0.0,0.0,0.0,0.0,0,0,0,7.46692,1226.484,0.0,0.2
Jordy Nelson,GB,0.3,0.0,1.4,0.0,0.0,0.0,0.0,0,0,0,6.81163,825.0606,0.0,0.2
Larry Fitzgerald,ARI,0.2,0.0,1.3,0.0,0.0,0.0,0.0,0,0,0,7.392,1267.2,0.0,0.1
Andre Johnson,HOU,0.2,0.0,1.4,0.0,0.0,0.0,0.0,0,0,0,5.03217,1162.035,0.0,0.1
Pierre Garcon,WAS,0.7,0.0,1,0.0,0.0,0.0,0.0,0,0,0,6.08375,1055.04,0.0,0.2
Dwayne Bowe,KC,0.6,0.0,1.5,0.0,0.0,0.0,0.0,0,0,0,5.6,1105.44,0.0,0.2
Torrey Smith,BAL,0.4,0.0,2.7,0.0,0.06144,19.2,0.0,0,0,0,6.48,1019.2,0.0,0.2
Hakeem Nicks,NYG,0.7,0.0,1.4,0.0,0.0,0.0,0.0,0,0,0,6.3635,966.68,0.0,0.2
Eric Decker,DEN,0.6,0.0,1.2,0.0,0.0,0.0,0.0,0,0,0,7.59,939.6,0.0,0.2
DeSean Jackson,PHI,0.9,0.6732,1.9,0.0,0.31518,66.555,0.0,0,0,0,5.03982,875.16,0.0,0.1
Marques Colston,NO,0.9,0.0,1.1,0.0,0.0,0.0,0.0,0,0,0,6.8355,1016.4,0.0,0.2
Danny Amendola,NE,1.4,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,5.544,1085.7,0.0,0.1
Reggie Wayne,IND,0.4,0.0,1.1,0.0,0.0,0.0,0.0,0,0,0,5.0464,938.4,0.0,0.1
Steve Smith,CAR,1.1,0.0,1.5,0.0,0.0,20.02,0.0,0,0,0,5.005,1056.44,0.0,0.2
Antonio Brown,PIT,0.9,0.0,0.9,0.0,0.0,26.88,0.0,0,0,0,5.6832,1066.24,0.0,0.1
Mike Williams,TB,0.9,0,1.3,0,0,0,0,0,0,0,6.7,945,0,0.2
Lance Moore,NO,0.3,0.0,1.2,0.0,0.0,0.0,0.0,0,0,0,5.9024,837.76,0.0,0.1
Mike Wallace,MIA,0.5,0.0,1.4,0.0,0.0,16.17,0.0,0,0,0,4.10872,813.12,0.0,0.1
James Jones,GB,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0,0,0,8.256,873.6,0.0,0.2
Wes Welker,DEN,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0,0,0,6.2568,962.22,0.0,0.1
Michael Floyd,ARI,0.6,0.0,1.2,0.0,0.0,0.0,0.0,0,0,0,4.6464,768.0,0.0,0.1
Cecil Shorts,JAC,0.6,0,1.3,0,0,0,0,0,0,0,4.7,956,0,0.1
T.Y. Hilton,IND,0.5,0.8,0.9,0.0,0.0,34.56,0.0,0,0,0,4.7808,856.8,0.0,0.1
Emmanuel Sanders,PIT,0.7,0.0,0.9,0.0,0.0,16.8,0.0,0,0,0,4.4992,823.2,0.0,0.1
Anquan Boldin,SF,1,0.0,1.1,0.0,0.0,0.0,0.0,0,0,0,5.1744,866.25,0.0,0.1
Miles Austin,DAL,0.5,0.0,0.9,0.0,0.0,0.0,0.0,0,0,0,5.3655,826.36,0.0,0.2
Chris Givens,STL,0.5,0.0,1.4,0.0,0.0,0.0,0.0,0,0,0,5.81504,896.768,0.0,0.1
Golden Tate,SEA,0.6,0.0,1,0.0,0.17064,44.24,0.0,0,0,0,6.1778,853.2,0.0,0.1
Malcom Floyd,SD,0.2,0.0,1.5,0.0,0.0,0.0,0.0,0,0,0,3.74946,638.495,0.0,0.1
Stevie Johnson,BUF,0.4,0.0,0.7,0.0,0.0,0.0,0.0,0,0,0,5.124,922.5,0.0,0.1
Brian Hartline,MIA,0.6,0.0,1.4,0.0,0.0,0.0,0.0,0,0,0,3.3408,739.2,0.0,0.1
Kenny Britt,TEN,1,0.0,1.1,0.0,0.0,0.0,0.0,0,0,0,4.186,724.5,0.0,0.1
Greg Jennings,MIN,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0,0,0,3.894,799.5,0.0,0.1
Andre Roberts,ARI,0.9,0.0,0.6,0.0,0.0,8.736,0.0,0,0,0,4.0128,691.2,0.0,0.1
Kenbrell Thompkins,NE,0.5,0.0,0.9,0.0,0.0,0.0,0.0,0,0,0,4.48,671.16,0.0,0.1
Rueben Randle,NYG,0.5,0.32,0.9,0.0,0.0,0.0,0.0,0,0,0,4.65648,728.0,0.0,0.1
Sidney Rice,SEA,0.3,0.0,1.2,0.0,0.0,0.0,0.0,0,0,0,5.61,776.25,0.0,0.1
Josh Gordon,CLE,0.5,0.0,1.1,0.0,0.0,0.0,0.0,0,0,0,4.05375,730.02,0.0,0.1
Tavon Austin,STL,0.7,0.628,0.3,0.0,0.43175,118.692,0.0,0,0,0,4.690532,755.3584,0.0,0.1
Brandon LaFell,CAR,0.4,0.0,0.7,0.0,0.0,20.8,0.0,0,0,0,4.784,862.4,0.0,0.1
Jacoby Jones,BAL,0.2,0.75,1.3,0.0,0.0576,18.0,0.0,0,0,0,4.05,661.5,0.0,0.1
