Name,Team,Fumbles Lost,Ret TD,Rec Yards,Rush TD,Rush Yards,Pass Yds,Rec TD,Pass Int,Pass TD,2PT
Aaron Rodgers,GB,3.9,0.0,0.0,1.97461538462,232.691,4081.077,0.0,10.01583,32.14035,0.9
Drew Brees,NO,3.2,0.0,0.0,0.73625,37.2,4726.26,0.0,15.6519,33.29865,1
Colin Kaepernick,SF,9.9,0.0,0.0,5.83389,600.525,3408.075,0.0,11.20878,21.2058,0.7
Peyton Manning,DEN,1.8,0.0,0.0,0.13175,17.515,4450.05,0.0,10.89495,33.759,0.8
Tom Brady,NE,1.5,0.0,0.0,1.7856,32.736,4327.29,0.0,9.97425,30.69,0.8
Matt Ryan,ATL,2.9,0.0,0.0,1.014,87.048,4494.204,0.0,13.43628,29.440125,0.7
Cam Newton,CAR,5.4,0.0,0.0,6.426,517.14,3711.015,0.0,14.08671,19.6911,0.6
Robert Griffin III,WAS,10,0.0,0.0,2.7468,378.0,3326.4,0.0,8.316,21.483,0.7
Russell Wilson,SEA,3.9,0.0,0.0,3.3048,351.288,3408.075,0.0,11.36025,25.7499,0.7
Matthew Stafford,DET,3.5,0.0,0.0,1.15632,97.09,4408.47,0.0,14.74308,25.2945,0.7
Tony Romo,DAL,3.8,0.0,0.0,0.7399,49.83,4230.567,0.0,14.949,26.16075,0.7
Andrew Luck,IND,5.9,0.0,0.0,2.88496,213.408,3837.24,0.0,14.59656,24.97968,0.6
Eli Manning,NYG,4.1,0.0,0.0,0.343202,33.912,4041.18,0.0,15.543,27.66654,0.7
Ben Roethlisberger,PIT,4.6,0.0,0.0,0.86976,95.13,3662.505,0.0,11.9592,22.12452,0.6
Alex Smith,KC,4.6,0.0,0.0,1.07406,176.715,3559.545,0.0,15.44994,18.93375,0.5
Joe Flacco,BAL,5.3,0.0,0.0,1.5072,56.52,3808.035,0.0,12.74526,23.3145,0.6
Ryan Tannehill,MIA,6.5,0.0,0.0,1.44704,271.32,3310.56,0.0,16.10136,17.45568,0.5
Jake Locker,TEN,4,0.0,0.0,2.2192,394.2,2991.978,0.0,13.7313,16.6221,0.4
Jay Cutler,CHI,6.1,0.0,0.0,1.1319,183.456,3347.19,0.0,14.98959,21.10185,0.5
Andy Dalton,CIN,2.5,0.0,0.0,1.924416,123.0516,3831.43824,0.0,14.443914,27.0633336,0.6
Josh Freeman,TB,6.8,0.0,0.0,1.08072,164.8896,3792.096,0.0,16.10136,24.67872,0.6
Carson Palmer,ARI,4.1,0.0,0.0,0.27482,27.482,3587.76,0.0,16.817625,19.73268,0.5
Philip Rivers,SD,7.1,0.0,0.0,0.372,37.08,3489.75,0.0,14.85,20.493,0.6
EJ Manuel,BUF,5.3,0,0,1.7,345,3232,0,17.3,20.9,0.5
Sam Bradford,STL,5.2,0.0,0.0,0.6776,99.792,3781.008,0.0,13.7214,23.47884,0.5
Matt Schaub,HOU,3.5,0.0,0.0,0.66096,40.392,3711.015,0.0,12.1176,21.66021,0.5
Brandon Weeden,CLE,4.1,0.0,0.0,0.4368,61.6,3187.8,0.0,15.246,16.2855,0.4
Geno Smith,NYJ,5.4,0.0,0.0,0.5984,48.4,1760.95,0.0,9.911,9.2772,0.4
Matt Flynn,OAK,3.2,0.0,0.0,0.402,130.248,2731.456,0.0,14.18256,14.83916,0.5
Michael Vick,PHI,5.9,0.0,0.0,3.3475,508.95,2802.8,0.0,11.7208,15.5428,0.4
Christian Ponder,MIN,4,0.0,0.0,1.38672,198.72,2892.96,0.0,13.4064,16.65216,0.3
Chad Henne,JAC,2.2,0.0,0.0,0.372,89.6,2058.0,0.0,11.64,10.67,0.2
Nick Foles,PHI,2.6,0.0,0.0,0.21012,39.44,1017.72,0.0,4.4436,5.64372,0.2
Blaine Gabbert,JAC,2.6,0.0,0.0,0.1736,37.632,1021.44,0.0,5.1648,5.3504,0.1
