Adrian Peterson,RB,284.03,179.52,104.51
Arian Foster,RB,258.74,179.52,79.22
Doug Martin,RB,241.39,179.52,61.87
Jamaal Charles,RB,240.87,179.52,61.35
C.J. Spiller,RB,224.71,179.52,45.19
Maurice Jones-Drew,RB,219.75,179.52,40.23
LeSean McCoy,RB,219.52,179.52,40
Alfred Morris,RB,219.27,179.52,39.75
Trent Richardson,RB,213.68,179.52,34.16
Marshawn Lynch,RB,210.38,179.52,30.86
Ray Rice,RB,204.24,179.52,24.72
Stevan Ridley,RB,199.06,179.52,19.54
Frank Gore,RB,195.65,179.52,16.13
Matt Forte,RB,195.64,179.52,16.1199999999999
Steven Jackson,RB,192.97,179.52,13.45
DeMarco Murray,RB,188.36,179.52,8.83999999999998
David Wilson,RB,184.96,179.52,5.43999999999997
Chris Johnson,RB,182.39,179.52,2.86999999999995
Chris Ivory,RB,178.07,179.52,-1.45000000000005
Lamar Miller,RB,175.79,179.52,-3.73000000000005
Reggie Bush,RB,170.74,179.52,-8.78000000000003
Darren Sproles,RB,161.4,179.52,-18.12
Montee Ball,RB,158.24,179.52,-21.28
Darren McFadden,RB,156.42,179.52,-23.1
Ryan Mathews,RB,154.91,179.52,-24.61
Le'Veon Bell,RB,154.27,179.52,-25.25
Rashard Mendenhall,RB,145.43,179.52,-34.09
Ahmad Bradshaw,RB,144.85,179.52,-34.67
Daryl Richardson,RB,139.81,179.52,-39.71
Jonathan Stewart,RB,127.8,179.52,-51.72
Shane Vereen,RB,127.05,179.52,-52.47
Eddie Lacy,RB,126.05,179.52,-53.47
BenJarvus Green-Ellis,RB,124.9,179.52,-54.62
Mark Ingram,RB,116.96,179.52,-62.56
Andre Brown,RB,115.1,179.52,-64.42
Giovani Bernard,RB,109.32,179.52,-70.2
Danny Woodhead,RB,108.59,179.52,-70.93
Pierre Thomas,RB,103.93,179.52,-75.59
Fred Jackson,RB,100.72,179.52,-78.8
Bernard Pierce,RB,94.95,179.52,-84.57
Vick Ballard,RB,93.09,179.52,-86.43
Mike Goodson,RB,91.73,179.52,-87.79
Mikel Leshoure,RB,86.95,179.52,-92.57
Jacquizz Rodgers,RB,86.72,179.52,-92.8
Michael Bush,RB,85.93,179.52,-93.59
DeAngelo Williams,RB,83.02,179.52,-96.5
Ben Tate,RB,81.39,179.52,-98.13
Knowshon Moreno,RB,78.98,179.52,-100.54
Daniel Thomas,RB,77.02,179.52,-102.5
Johnathan Franklin,RB,73.68,179.52,-105.84
