Name,Team,Ret TD,Rec 40 yd TD,Fumbles Lost,Rush TD,Pass Int,Rush Yards,Pass Yds,Pick Six,Pass 40 yd TD,Rush 40 yd TD,Rec TD,Rec Yards,Pass TD,2PT
Doug Martin,TB,0.0,0.3,0.6,8.15256,0.0,1149.72,0.0,0,0,1.1,1.64016,354.1888,0.0,0.2
Adrian Peterson,MIN,0.0,0.2,3.2,11.3632,0.0,1349.916,0.0,0,0,1.5,0.86832,178.22,0.0,0.2
Ray Rice,BAL,0.0,0.3,1.8,8.0316,0.0,1009.608,0.0,0,0,0.8,2.1114,441.324,0.0,0.2
Arian Foster,HOU,0.0,0.3,2.1,8.76942,0.0,1048.125,0.0,0,0,1.4,1.31838,218.526,0.0,0.3
Alfred Morris,WAS,0.0,0.1,2.2,9.18528,0.0,1178.52,0.0,0,0,1.1,0.62928,165.6,0.0,0.2
Jamaal Charles,KC,0.0,0.4,3.4,8.07576,0.0,1062.048,0.0,0,0,0.8,1.7388,421.59,0.0,0.2
Trent Richardson,CLE,0.0,0.5,2.1,8.20512,0.0,1111.968,0.0,0,0,1.1,1.152756,274.2168,0.0,0.2
Marshawn Lynch,SEA,0.0,0.1,3.2,9.53946,0.0,1107.51,0.0,0,0,1.1,0.94336,154.1,0.0,0.2
LeSean McCoy,PHI,0.0,0.5,2.7,8.062,0.0,1058.624,0.0,0,0,1,1.24544,280.224,0.0,0.2
Chris Johnson,TEN,0.0,0.2,2.3,8.76395,0.0,1210.968,0.0,0,0,0.9,0.96744,235.744,0.0,0.1
C.J. Spiller,BUF,0.0,0.2,2.9,6.78699,0.0,987.392,0.0,0,0,1.2,1.47231,316.008,0.0,0.2
Stevan Ridley,NE,0.0,0,2.9,10.09904,0.0,1097.518,0.0,0,0,1,0.30104,81.224,0.0,0.2
Maurice Jones-Drew,JAC,0.0,0.2,2.9,6.603072,0.0,1032.24,0.0,0,0,1.2,0.93024,230.656,0.0,0.2
DeMarco Murray,DAL,0.0,0.4,2.6,6.2062,0.0,951.824,0.0,0,0,0.8,1.31688,280.736,0.0,0.2
Matt Forte,CHI,0.0,0.2,1.7,4.8348,0.0,951.048,0.0,0,0,0.9,1.73808,367.2,0.0,0.2
Steven Jackson,ATL,0.0,0.2,0.8,7.6608,0.0,931.532,0.0,0,0,0.8,1.2635,231.42,0.0,0.2
Darren Sproles,NO,0.576,0.5,0.3,2.052,0.0,385.848,0.0,0,0,0,4.1184,576.576,0.0,0.2
Frank Gore,SF,0.0,0.1,1.8,7.21924,0.0,990.584,0.0,0,0,0.9,0.698782,149.625,0.0,0.2
David Wilson,NYG,0.0,0.1,2.3,9.261,0.0,1073.52,0.0,0,0,0.8,0.967932,179.2224,0.0,0.2
Andre Brown,NYG,0.0,0.1,1.2,4.41,0.0,396.0,0.0,0,0,0.2,0.7682,139.7,0.0,0.1
BenJarvus Green-Ellis,CIN,0.0,0,0.8,5.74857,0.0,774.63,0.0,0,0,0.5,0.425216,90.6,0.0,0.1
