Name,Team,Ret TD,Rec 40 yd TD,Fumbles Lost,Rush TD,Pass Int,Rush Yards,Pass Yds,Pick Six,Pass 40 yd TD,Rush 40 yd TD,Rec TD,Rec Yards,Pass TD,2PT
Jimmy Graham,NO,0.0,0.7,0.8,0.0,0.0,0.0,0.0,0,0,0,7.392,1020.096,0.0,0.3
Jason Witten,DAL,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0,0,0,4.8144,964.464,0.0,0.1
Tony Gonzalez,ATL,0.0,0.5,0,0.0,0.0,0.0,0.0,0,0,0,7.25857,832.01,0.0,0.2
Rob Gronkowski,NE,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0,0,0,6.91968,755.04,0.0,0.2
Greg Olsen,CAR,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0,0,0,5.40512,840.224,0.0,0.1
Vernon Davis,SF,0.0,1,0.6,0.0,0.0,4.864,0.0,0,0,0,5.2256,756.0,0.0,0.2
Jermichael Finley,GB,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0,0,0,6.1632,783.36,0.0,0.1
Kyle Rudolph,MIN,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0,0,0,5.3568,638.4,0.0,0.1
Fred Davis,WAS,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0,0,0,3.970696,771.912,0.0,0.1
Jermaine Gresham,CIN,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0,0,0,4.89984,704.0,0.0,0.1
Jared Cook,STL,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0,0,0,5.2448,806.4,0.0,0.1
Coby Fleener,IND,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0,0,0,4.82328,602.91,0.0,0.1
Owen Daniels,HOU,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0,0,0,4.69098,703.494,0.0,0.1
Antonio Gates,SD,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0,0,0,5.45832,730.968,0.0,0.1
Brandon Myers,NYG,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0,0,0,4.8096,604.8,0.0,0.1
Brandon Pettigrew,DET,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0,0,0,3.3216,683.2,0.0,0.1
Heath Miller,PIT,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0,0,0,4.1756,473.85,0.0,0.1
Anthony Fasano,KC,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0,0,0,4.6368,639.2,0.0,0.1
