Name,Team,Ret TD,Rec 40 yd TD,Fumbles Lost,Rush TD,Pass Int,Rush Yards,Pass Yds,Pick Six,Pass 40 yd TD,Rush 40 yd TD,Rec TD,Rec Yards,Pass TD,2PT
Calvin Johnson,DET,0.0,2.4,1.6,0.0,0.0,0.0,0.0,0,0,0,9.02022,1493.89,0.0,0.2
Dez Bryant,DAL,0.0,1.4,1,0.0,0.0,15.958,0.0,0,0,0,9.7881,1341.42,0.0,0.2
A.J. Green,CIN,0.0,2,0.9,0.0,0.0,18.012,0.0,0,0,0,8.89856,1264.0,0.0,0.2
Larry Fitzgerald,ARI,0.0,1.3,0.2,0.0,0.0,0.0,0.0,0,0,0,7.46368,1268.064,0.0,0.1
Brandon Marshall,CHI,0.0,1.9,1.2,0.0,0.0,0.0,0.0,0,0,0,7.936664,1257.57,0.0,0.2
Roddy White,ATL,0.0,1.6,0.5,0.0,0.0,0.0,0.0,0,0,0,7.27852,1183.78,0.0,0.2
Julio Jones,ATL,0.0,1.6,0.4,0.0768,0.0,32.96,0.0,0,0,0,7.904,1299.2,0.0,0.2
Vincent Jackson,TB,0.0,2.6,0.4,0.0,0.0,0.0,0.0,0,0,0,6.15808,1132.8,0.0,0.2
Demaryius Thomas,DEN,0.0,1.5,1.4,0.0,0.0,0.0,0.0,0,0,0,8.45616,1292.598,0.0,0.2
Victor Cruz,NYG,0.0,1.1,0.4,0.0,0.0,0.0,0.0,0,0,0,7.000974,1094.9904,0.0,0.2
Randall Cobb,GB,0.0,0.5,0.6,0.1472,0.0,54.24,0.0,0,0,0,7.1904,1088.0,0.0,0.2
Andre Johnson,HOU,0.0,1.4,0.2,0.0,0.0,0.0,0.0,0,0,0,5.39616,1214.9368,0.0,0.1
Dwayne Bowe,KC,0.0,1.5,0.6,0.0,0.0,0.0,0.0,0,0,0,5.2416,1015.2,0.0,0.2
Torrey Smith,BAL,0.0,2.7,0.4,0.06208,0.0,18.88,0.0,0,0,0,6.8544,1023.36,0.0,0.2
Antonio Brown,PIT,0.48,0.9,0.9,0.0,0.0,27.136,0.0,0,0,0,5.6064,1049.76,0.0,0.1
Marques Colston,NO,0.0,1.1,0.9,0.0,0.0,0.0,0.0,0,0,0,6.6,924.0,0.0,0.2
